Accident_ID,Date,Time,State,District,Latitude,Longitude,Road_Type,Weather,Light_Condition,Driver_Age,Driver_Gender,Vehicle_Type,Speed_kmph,Alcohol_Involved,Driver_Drowsy,Pothole_Involved,Cause_of_Accident,Severity,Casualties
ACC20000,18-01-2023,12:39,Tamil Nadu,Madurai,11.2765,78.0398,Village Road,Rainy,Day,18,Male,Auto,39,No,No,No,Poor Weather Visibility,Low,2.0
ACC20001,16-10-2023,18:13,Andhra Pradesh,Guntur,16.2785,79.6676,National Highway,Cloudy,Dusk,34,Male,Bus,83,No,No,No,Over Speeding,Medium,0.0
ACC20002,17-05-2024,14:28,Karnataka,Mysuru,14.4623,75.0246,Village Road,Rainy,Day,47,Female,Bike,50,Yes,No,Yes,Poor Weather Visibility,High,7.0
ACC20003,15-05-2023,07:54,Andhra Pradesh,Visakhapatnam,15.6972,80.1319,National Highway,Cloudy,Day,53,Male,Bus,65,No,No,No,Poor Weather Visibility,Medium,3.0
ACC20004,08-11-2023,09:05,Puducherry,Puducherry,11.7264,80.7346,State Highway,Cloudy,Day,38,Male,Car,80,No,No,No,Over Speeding,Low,1.0
ACC20005,27-06-2022,05:14,Kerala,Kozhikode,9.9585,76.3752,City Road,Cloudy,Dawn,34,Female,Bike,66,Yes,No,No,Drunk Driving,Medium,3.0
ACC20006,21-10-2023,20:16,Kerala,Kozhikode,10.1393,76.7097,Village Road,Rainy,Night,34,Male,Bike,23,No,Yes,No,Poor Weather Visibility,Low,3.0
ACC20007,25-09-2022,14:02,Tamil Nadu,Coimbatore,11.7339,78.8733,Village Road,Clear,Day,45,Male,Auto,52,No,No,No,Signal Jumping,Low,0.0
ACC20008,09-03-2023,01:13,Karnataka,Belagavi,14.5114,75.5036,City Road,Clear,Night,51,Male,Car,44,No,Yes,No,Drowsy Driving,Low,0.0
ACC20009,31-03-2024,07:03,Kerala,Kozhikode,10.1326,76.0499,City Road,Clear,Day,45,Male,Car,74,No,Yes,No,Drowsy Driving,Medium,2.0
ACC20010,13-01-2023,17:03,Andhra Pradesh,Nellore,15.6333,78.4541,Village Road,Clear,Dusk,38,Male,Bike,34,No,No,Yes,Pothole/Bad Road,Low,0.0
ACC20011,28-10-2022,19:20,Telangana,Karimnagar,18.1461,79.163,Village Road,Overcast,Night,35,Male,Car,38,Yes,No,No,Drunk Driving,Medium,3.0
